"gamma","lambda_0","theta"
16.8056712998467,14.3248139249572,1.20431037546186
16.485791072328,13.6936918715728,0.957479951973351
17.2126299872987,14.103462846342,1.19738719779837
17.928288111191,14.2778332568466,1.24887195641414
17.7813090085016,14.5280910548301,1.36871074992037
17.1827262892384,14.5946783848212,1.30402783796397
17.9183492141842,14.51898248973,1.35788444214121
17.828180921662,14.0666436940983,1.17320503713596
17.6434091956569,14.7638371301288,1.30820354386813
16.4245816268056,15.1412974974171,1.29381488044253
20.010989788544,14.3515613529158,1.42371603996288
16.6407417299321,15.3119029439058,1.31854118465608
17.2733840912425,14.8564746916498,1.40131995991765
16.2285510939808,14.6948726031814,1.17731465473058
16.6631282588701,14.8832841939696,1.30452410882349
16.8496032275956,15.3295124356219,1.4591244011838
15.7192433472029,14.8965076441844,1.23756531071477
17.6973751014246,14.2294511555601,1.27150992150836
18.6785666738751,14.4703613777751,1.37478973219231
17.99959850756,13.9425015582712,1.19018657036195
17.683785365334,14.2424318620047,1.23653351756611
17.1729563688201,15.3029531357037,1.43838347987345
16.077027192202,15.3124270097335,1.37955049783176
17.7224312812182,13.749804457467,1.19166888793564
17.6119322084919,13.7095551674942,1.15754263179193
17.0715373484161,13.8570457799228,1.0988318251724
16.4447770070959,14.3425951989796,1.21182102814581
16.1087991227834,14.5162826376786,1.21572744560002
16.7540003273279,14.2415196900348,1.22734026904756
18.1425289168861,15.7381648231969,1.53446591340072
17.1520789132656,14.7569953050674,1.3229774316945
17.4020841074027,14.781612297082,1.35883856944708
16.1159216536497,14.3317701951509,1.1456011435362
18.1871298412252,15.2558848285723,1.45583121227367
16.4751674165477,14.5946220104844,1.16878331011915
16.9781417147666,14.9127179190561,1.26365239434037
17.5160201081326,14.9203656767006,1.4242271236682
15.5002150512253,15.0836266352132,1.27817825930624
17.0205666898693,14.4973810163472,1.19356257932227
16.3015155539837,14.7334199468677,1.23508185752688
18.4957830405896,14.7770413759711,1.35778777238037
17.5148826120233,14.487546451003,1.32377946827557
18.0627534239719,15.0583728937444,1.47319212708515
18.3946138777462,15.132838155984,1.47456846276321
16.6870057064501,14.0592718614613,1.1388820615685
