"","s_10","s_20","s_30","s_40","gamma","lambda_0","theta"
"179",-1.29046474748574,-1.84581472609531,-2.06700632930299,-2.12802174698327,19,7.08333333333333,1.25
"180",-1.28115771160804,-1.8544612530422,-2.08147793659428,-2.14387913360143,21.3333333333333,7.08333333333333,1.25
"181",-1.26810610571601,-1.85935341358963,-2.09219630525914,-2.15596968944853,23.6666666666667,7.08333333333333,1.25
"182",-1.25179888819696,-1.86098165846987,-2.09965174719023,-2.16478582166591,26,7.08333333333333,1.25
"183",-1.23263302655821,-1.85974413986429,-2.10424229957929,-2.17072722667857,28.3333333333333,7.08333333333333,1.25
"184",-1.21093549636483,-1.85596878859499,-2.10629579695433,-2.17412307396141,30.6666666666667,7.08333333333333,1.25
"185",-1.18697902308749,-1.84992911094891,-2.10608566417054,-2.17524787732279,33,7.08333333333333,1.25
"186",-1.1609935992029,-1.84185574530156,-2.10384247013524,-2.17433310478105,35.3333333333333,7.08333333333333,1.25
"187",-1.13317507523293,-1.83194508214879,-2.09976254561466,-2.17157583746896,37.6666666666667,7.08333333333333,1.25
"188",-1.10369167850174,-1.8203658045129,-2.09401452190899,-2.16714533893273,40,7.08333333333333,1.25
"189",-1.07268903507424,-1.80726392630418,-2.08674436785096,-2.1611881153161,42.3333333333333,7.08333333333333,1.25
"190",-1.04029409141041,-1.79276672661128,-2.07807932301102,-2.15383186637176,44.6666666666667,7.08333333333333,1.25
"191",-1.00661821441139,-1.77698585959419,-2.06813100671764,-2.14518860833344,47,7.08333333333333,1.25
"192",-0.971759669199214,-1.76001984002635,-2.05699790289135,-2.13535716965147,49.3333333333333,7.08333333333333,1.25
"193",-0.935805619518902,-1.74195604988038,-2.04476736605087,-2.12442520566996,51.6666666666667,7.08333333333333,1.25
"194",-0.898833757609929,-1.72287237317311,-2.03151725568014,-2.11247083995764,54,7.08333333333333,1.25
"195",-0.860913643389704,-1.70283853918446,-2.01731727905022,-2.09956401277259,56.3333333333333,7.08333333333333,1.25
"196",-0.82210781333809,-1.68191723464304,-2.00223010307288,-2.08576759752539,58.6666666666667,7.08333333333333,1.25
"197",-0.782472705269632,-1.66016503121883,-1.986312281514,-2.07113833178704,61,7.08333333333333,1.25
"198",-0.742059434682124,-1.6376331641295,-1.96961503336348,-2.05572759880396,63.3333333333333,7.08333333333333,1.25
"199",-0.700914450521343,-1.61436818979087,-1.95218490028465,-2.03958208757158,65.6666666666667,7.08333333333333,1.25
