"gamma","lambda_0","theta","boundary","theta.hat","lambda.hat","s"
4,23.7595663263059,2.17457012506816,1,2.1820068359375,25.7805173043955,10
4,23.8177945108825,2.19959046748779,1,2.21633911132812,25.991371893443,10
4,23.8680969683027,2.18857566445035,1,2.20108032226562,25.9777466015847,10
4,23.4862602905829,2.1589361465433,1,2.17819213867188,25.7368969430416,10
4,23.9197318655654,2.17400622738754,1,2.17437744140625,25.8496556320519,10
4,24.218234830496,2.2142813014727,1,2.2125244140625,26.1512735453996,10
4,24.2904628873331,2.22554942797047,1,2.227783203125,26.2524356111343,10
4,24.0123978004269,2.19932109990116,1,2.20108032226562,25.9693956859209,10
4,23.7500226033749,2.18546747171711,1,2.18582153320312,25.6668784070985,10
4,23.8976797010709,2.18431129603485,1,2.197265625,26.0024720446358,10
4,24.0221083183918,2.19483633403123,1,2.197265625,25.97643259524,10
4,23.4561078058219,2.16634265048084,1,2.18963623046875,25.7206616652081,10
4,23.8828114357712,2.1918932035363,1,2.197265625,25.8819083625524,10
4,24.054553256401,2.20193766543589,1,2.20489501953125,25.9770313767876,10
4,23.8726000070019,2.18943682858438,1,2.19345092773438,25.8455853325479,10
4,24.0923764099394,2.20256297191625,1,2.20870971679688,26.0965766437032,10
4,23.6347650069568,2.16916022184737,1,2.17437744140625,25.6602104758388,10
4,24.1801985892731,2.21260766741814,1,2.22015380859375,26.1957432447786,10
4,23.6942570550793,2.17833730427084,1,2.18963623046875,25.8379156345778,10
4,23.9172529466164,2.19809610478938,1,2.20870971679688,25.9977746493517,10
4,23.6157113192836,2.17328635076862,1,2.18582153320312,25.7543357600857,10
4,23.6851142061126,2.17336637284546,1,2.17819213867188,25.6429497458329,10
4,23.7674428182953,2.17981975998837,1,2.18963623046875,25.8373549138529,10
4,23.9504098239826,2.18031061269471,1,2.1820068359375,25.8459887361899,10
4,24.0443546117171,2.20575440912089,1,2.22015380859375,26.1951736753209,10
4,24.0844656528566,2.19314982162822,1,2.18963623046875,25.9310053957883,10
4,23.6803220625095,2.17178398444546,1,2.18582153320312,25.8302467135711,10
4,23.9356523549763,2.18350984812226,1,2.1820068359375,25.8469852699489,10
4,23.7429623381465,2.16619850222422,1,2.17819213867188,25.87182063585,10
4,23.7521934566015,2.17709301222042,1,2.18963623046875,25.8550004635724,10
4,24.0318669861453,2.20252683391683,1,2.20489501953125,26.0077911846108,10
4,23.7599620323034,2.17371580818377,1,2.18963623046875,25.9157263956498,10
4,23.8255279897538,2.18379454071581,1,2.19345092773438,25.8954371127108,10
4,24.035039937756,2.19676830924459,1,2.20489501953125,26.0924852798004,10
4,23.7186001194626,2.17889364360728,1,2.197265625,25.8855146058544,10
4,24.078911952031,2.20585955454578,1,2.2125244140625,26.1083133585878,10
4,23.9292807862591,2.19559963319413,1,2.19345092773438,25.8266367787293,10
