"gamma","lambda_0","theta","negLogLik"
34.3428571428571,7.45428571428571,1.25,-1.99633669074696
36.6057142857143,7.45428571428571,1.25,-1.98724472816536
38.8685714285714,7.45428571428571,1.25,-1.9761684623099
41.1314285714286,7.45428571428571,1.25,-1.96328421492354
43.3942857142857,7.45428571428571,1.25,-1.94874554423548
45.6571428571429,7.45428571428571,1.25,-1.93268702884028
47.92,7.45428571428571,1.25,-1.91522729298058
50.1828571428571,7.45428571428571,1.25,-1.89647144933556
52.4457142857143,7.45428571428571,1.25,-1.87651308937222
54.7085714285714,7.45428571428571,1.25,-1.85543591856485
56.9714285714286,7.45428571428571,1.25,-1.83331511015381
59.2342857142857,7.45428571428571,1.25,-1.81021843383539
61.4971428571428,7.45428571428571,1.25,-1.78620720298538
63.76,7.45428571428571,1.25,-1.76133707444791
66.0228571428571,7.45428571428571,1.25,-1.73565872768257
68.2857142857143,7.45428571428571,1.25,-1.70921844453524
70.5485714285714,7.45428571428571,1.25,-1.68205860663962
