"gamma","lambda_0","theta","ave_neg_lik","s"
0.85,3.2,0.1,1.48472937409703,1
0.925,3.2,0.1,1.50356243847896,1
1,3.2,0.1,1.52252507040515,1
1.075,3.2,0.1,1.54161341490917,1
1.15,3.2,0.1,1.56082379421801,1
1.225,3.2,0.1,1.58015269678268,1
1.3,3.2,0.1,1.59959676715854,1
1.375,3.2,0.1,1.6191527966565,1
1.45,3.2,0.1,1.63881771469496,1
1.525,3.2,0.1,1.65858858078979,1
1.6,3.2,0.1,1.67846257712584,1
1.675,3.2,0.1,1.69843700165969,1
1.75,3.2,0.1,1.71850926170811,1
1.825,3.2,0.1,1.73867686798122,1
1.9,3.2,0.1,1.75893742902364,1
0.1,3.35,0.1,1.37183358119093,1
0.175,3.35,0.1,1.38958891623525,1
0.25,3.35,0.1,1.40751013306006,1
0.325,3.35,0.1,1.42559152698262,1
0.4,3.35,0.1,1.44382769657811,1
0.475,3.35,0.1,1.46221352199051,1
0.55,3.35,0.1,1.48074414518097,1
0.625,3.35,0.1,1.4994149519072,1
0.7,3.35,0.1,1.51822155525292,1
0.775,3.35,0.1,1.53715978054819,1
0.85,3.35,0.1,1.55622565154046,1
0.925,3.35,0.1,1.57541537769246,1
1,3.35,0.1,1.59472534249717,1
1.075,3.35,0.1,1.61415209271274,1
1.15,3.35,0.1,1.63369232843063,1
1.225,3.35,0.1,1.65334289390002,1
1.3,3.35,0.1,1.67310076903956,1
1.375,3.35,0.1,1.69296306157494,1
1.45,3.35,0.1,1.71292699974706,1
1.525,3.35,0.1,1.73298992554133,1
1.6,3.35,0.1,1.75314928839337,1
1.675,3.35,0.1,1.77340263933129,1
1.75,3.35,0.1,1.79374762551795,1
1.825,3.35,0.1,1.81418198516079,1
1.9,3.35,0.1,1.83470354275948,1
0.1,3.5,0.1,1.44109064547885,1
0.175,3.5,0.1,1.45928509039505,1
0.25,3.5,0.1,1.47763203994715,1
0.325,3.5,0.1,1.49612645847446,1
0.4,3.5,0.1,1.51476356755326,1
0.475,3.5,0.1,1.53353882830393,1
0.55,3.5,0.1,1.55244792521908,1
0.625,3.5,0.1,1.57148675135687,1
0.7,3.5,0.1,1.59065139476155,1
0.775,3.5,0.1,1.60993812599007,1
0.85,3.5,0.1,1.62934338663698,1
0.925,3.5,0.1,1.64886377876214,1
1,3.5,0.1,1.66849605513642,1
1.075,3.5,0.1,1.68823711022973,1
1.15,3.5,0.1,1.70808397187371,1
1.225,3.5,0.1,1.72803379353892,1
1.3,3.5,0.1,1.74808384717202,1
1.375,3.5,0.1,1.76823151654473,1
1.45,3.5,0.1,1.78847429107046,1
1.525,3.5,0.1,1.80880976004951,1
1.6,3.5,0.1,1.82923560730718,1
1.675,3.5,0.1,1.84974960619267,1
1.75,3.5,0.1,1.87034961490965,1
1.825,3.5,0.1,1.89103357215233,1
1.9,3.5,0.1,1.91179949302289,1
0.1,3.65,0.1,1.51213669346062,1
0.175,3.65,0.1,1.53073512678261,1
0.25,3.65,0.1,1.54947424302399,1
0.325,3.65,0.1,1.56834957487832,1
0.4,3.65,0.1,1.58735687466441,1
0.475,3.65,0.1,1.60649209977776,1
0.55,3.65,0.1,1.62575139934738,1
0.625,3.65,0.1,1.64513110197886,1
0.7,3.65,0.1,1.66462770447785,1
0.775,3.65,0.1,1.68423786146048,1
0.85,3.65,0.1,1.70395837576708,1
0.925,3.65,0.1,1.72378618960507,1
1,3.65,0.1,1.74371837635475,1
1.075,3.65,0.1,1.76375213297854,1
1.15,3.65,0.1,1.7838847729805,1
1.225,3.65,0.1,1.80411371986853,1
1.3,3.65,0.1,1.82443650107613,1
1.375,3.65,0.1,1.84485074230516,1
1.45,3.65,0.1,1.86535416225467,1
1.525,3.65,0.1,1.8859445677042,1
1.6,3.65,0.1,1.90661984892311,1
1.675,3.65,0.1,1.92737797537987,1
1.75,3.65,0.1,1.94821699172803,1
1.825,3.65,0.1,1.96913501404736,1
1.9,3.65,0.1,1.99013022632074,1
0.1,3.8,0.1,1.58482940075838,1
0.175,3.8,0.1,1.60380075309243,1
0.25,3.8,0.1,1.62290228991261,1
0.325,3.8,0.1,1.64213002984514,1
0.4,3.8,0.1,1.66148018016046,1
0.475,3.8,0.1,1.68094912472155,1
0.55,3.8,0.1,1.70053341289592,1
0.625,3.8,0.1,1.72022974933916,1
0.7,3.8,0.1,1.74003498456816,1
0.775,3.8,0.1,1.75994610625099,1
0.85,3.8,0.1,1.77996023114834,1
0.925,3.8,0.1,1.80007459764816,1
1,3.8,0.1,1.82028655884126,1
1.075,3.8,0.1,1.84059357609102,1
1.15,3.8,0.1,1.86099321305486,1
1.225,3.8,0.1,1.88148313011972,1
1.3,3.8,0.1,1.90206107921695,1
1.375,3.8,0.1,1.92272489898578,1
1.45,3.8,0.1,1.94347251025734,1
1.525,3.8,0.1,1.96430191183365,1
1.6,3.8,0.1,1.98521117653855,1
